Year,State,Coal,NG,Petro,Hydro,Solar,Wind
2015,AK,10,30,192,60,0,12
2015,AL,14,54,8,48,0,0
2015,AR,10,36,6,38,2,0
2015,AZ,12,62,8,20,118,10
2015,CA,4,580,30,502,742,230
2015,CO,26,62,26,84,58,48
2015,CT,2,68,56,28,6,0
2015,DE,2,20,10,0,14,2
2015,FL,26,142,42,4,26,0
2015,GA,14,68,52,60,36,0
2015,HI,2,0,38,16,18,14
2015,IA,40,72,208,6,0,146
2015,ID,4,18,2,148,0,64
2015,IL,46,156,76,18,10,62
2015,IN,46,58,34,10,76,22
2015,KS,12,136,100,2,2,48
2015,KY,32,26,4,14,0,0
2015,LA,8,116,14,2,0,0
2015,MA,2,72,56,58,268,38
2015,MD,16,34,32,4,52,10
2015,ME,0,16,12,110,0,24
2015,MI,52,122,90,112,4,44
2015,MN,24,72,150,54,4,250
2015,MO,40,86,102,12,8,12
2015,MS,6,58,8,0,0,0
2015,MT,10,10,2,46,0,24
2015,NC,26,36,96,82,528,0
2015,ND,20,6,20,2,0,52
2015,NE,20,68,72,22,0,30
2015,NH,4,6,18,68,0,6
2015,NJ,8,98,16,4,250,4
2015,NM,6,46,8,10,82,30
2015,NV,6,36,2,12,38,2
2015,NY,12,180,84,320,50,44
2015,OH,34,76,114,10,28,20
2015,OK,14,60,26,20,2,72
2015,OR,2,24,0,130,16,68
2015,PA,50,80,76,34,40,48
2015,RI,0,16,4,4,12,6
2015,SC,16,40,32,64,2,0
2015,SD,2,16,26,8,0,22
2015,TN,14,24,8,56,10,4
2015,TX,42,320,24,46,30,260
2015,UT,12,46,6,58,30,6
2015,VA,26,50,76,50,0,0
2015,VT,0,0,18,92,32,8
2015,WA,2,38,8,148,2,42
2015,WI,30,90,64,130,2,24
2015,WV,24,6,2,22,0,10
2015,WY,24,20,6,32,0,40
