,Kentucky Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,1.6,0.9,0.9,1.1,1.0,1.1,1.0,1.1,1.2,1.1,0.9,1.0,1.0,1.1,1.0,1.0,1.2,1.2,1.1,1.3,1.0,0.8,0.7,0.8,0.8,0.8,0.6,0.6,0.7,0.8,0.7,0.7,0.4,0.5,0.6
6,,Natural Gas,4.0,3.8,3.6,3.4,3.6,3.3,3.3,3.3,3.5,3.6,3.1,3.3,3.5,3.7,3.5,3.8,3.9,3.7,3.0,3.2,3.6,3.1,3.3,3.4,3.1,3.1,2.6,2.8,3.0,2.8,3.0,2.8,2.4,3.0,3.1
7,,Total,5.7,4.9,4.7,4.6,4.7,4.5,4.4,4.5,4.9,4.8,4.1,4.4,4.5,4.9,4.7,4.9,5.1,5.0,4.2,4.6,4.6,3.9,4.0,4.3,4.0,3.9,3.3,3.5,3.7,3.6,3.7,3.5,2.8,3.4,3.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.5,0.9,0.8,0.7,0.7,0.4,0.5,0.5,0.6,0.4,0.3,0.4,0.4,0.5,0.6,0.3,0.2,0.7,0.5,0.9,0.4,0.5,0.5,0.4,0.6,0.6,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0
11,,Petroleum Products,1.6,0.5,0.4,1.0,1.1,0.9,0.7,0.5,0.7,0.6,0.6,0.5,0.6,0.4,0.5,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.3,0.3,0.3,0.3
12,,Natural Gas,2.1,2.0,1.9,1.8,2.0,1.8,1.8,1.8,2.0,2.0,1.8,1.9,2.0,2.1,2.1,2.2,2.3,2.2,1.8,2.0,2.1,1.9,2.0,2.1,2.0,2.0,1.8,1.9,2.0,1.9,2.0,1.9,1.7,2.0,2.2
13,,Total,4.2,3.4,3.1,3.5,3.7,3.2,3.1,2.9,3.4,3.0,2.6,2.8,3.0,3.0,3.2,3.1,3.2,3.4,2.9,3.4,3.2,3.0,3.1,3.0,3.1,3.0,2.5,2.5,2.6,2.3,2.4,2.3,2.0,2.4,2.6
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,7.0,5.5,5.5,6.7,8.3,8.8,7.9,7.7,7.4,8.4,8.2,7.0,6.7,8.5,7.8,8.8,8.8,7.7,6.6,5.8,5.6,5.9,5.2,5.2,5.6,5.5,5.8,6.0,5.4,4.0,4.7,4.5,2.7,2.6,2.5
17,,Petroleum Products,7.3,5.8,5.4,5.2,6.0,6.1,5.7,6.9,6.7,6.5,6.8,6.3,7.2,6.3,6.4,6.3,6.9,6.8,7.5,7.8,7.0,9.8,9.4,8.5,9.6,9.8,11.2,10.1,10.1,9.9,8.1,7.8,8.1,8.2,6.8
18,,Natural Gas,3.5,3.6,3.5,3.3,3.6,3.5,3.0,3.2,3.5,3.7,3.9,4.1,4.3,4.4,4.8,5.4,5.4,5.5,5.2,5.5,5.7,5.4,5.9,5.8,6.4,6.3,6.1,6.1,6.1,5.4,5.9,6.0,6.1,6.4,6.6
19,,Total,17.9,14.8,14.4,15.2,18.0,18.3,16.6,17.7,17.5,18.6,19.0,17.4,18.1,19.2,19.0,20.6,21.1,20.0,19.4,19.1,18.3,21.1,20.5,19.5,21.6,21.6,23.1,22.2,21.6,19.4,18.7,18.2,17.0,17.1,15.9
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,21.6,21.3,21.3,22.6,22.4,21.5,22.3,23.1,25.3,26.8,24.9,25.1,26.5,27.7,27.2,28.1,26.3,28.8,29.2,30.2,30.5,30.9,32.1,30.6,33.6,32.7,32.7,33.8,30.8,31.2,31.7,31.1,29.9,29.6,30.3
24,,Natural Gas,1.1,1.3,1.0,0.8,0.9,0.8,1.1,1.2,1.1,1.1,1.4,1.1,0.9,1.1,1.3,1.5,1.5,1.3,0.9,0.9,0.8,0.8,0.7,0.8,0.6,0.5,0.4,0.6,0.7,0.7,0.7,0.7,0.5,0.4,0.5
25,,Total,22.7,22.6,22.3,23.4,23.4,22.3,23.4,24.3,26.4,28.0,26.2,26.2,27.4,28.7,28.5,29.6,27.8,30.0,30.0,31.1,31.2,31.7,32.8,31.4,34.1,33.2,33.1,34.4,31.5,31.9,32.4,31.8,30.4,30.0,30.8
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,52.4,55.6,52.4,52.3,53.8,58.0,61.8,61.8,69.0,63.2,67.1,68.2,69.4,77.6,76.1,78.5,80.8,83.7,83.3,86.4,88.1,89.2,83.9,83.3,84.5,87.0,90.5,90.1,91.2,84.3,90.5,90.8,83.1,83.7,83.7
29,,Petroleum Products,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,4.4,3.7,4.3,4.3,3.9,3.2,3.3,2.3,2.5,1.9,1.7,1.6,1.3
30,,Natural Gas,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.2,0.2,0.7,0.2,0.3,0.9,0.7,1.1,0.5,0.5,1.0,0.8,1.7,0.8,1.5
31,,Total,52.6,55.9,52.6,52.5,54.0,58.2,61.9,61.9,69.2,63.3,67.2,68.4,69.5,77.7,76.2,78.7,81.0,84.0,84.2,86.8,88.5,89.5,89.1,87.2,89.0,92.2,95.1,94.3,95.0,87.0,94.1,93.5,86.5,86.1,86.4
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,103.1,101.6,97.0,99.2,103.8,106.4,109.4,111.3,121.3,117.7,119.1,119.1,122.5,133.6,131.5,137.0,138.2,142.4,140.7,145.1,145.8,149.2,149.4,145.3,151.8,153.9,157.0,156.9,154.4,144.4,151.2,149.3,138.6,139.1,139.4
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,60.1,62.2,58.8,59.8,62.9,67.3,70.4,70.1,77.3,72.2,75.7,75.7,76.6,86.8,84.5,87.7,89.8,92.3,90.5,93.2,94.1,95.6,89.7,89.0,90.7,93.1,96.6,96.3,96.7,88.4,95.3,95.4,85.9,86.4,86.3
37,Petroleum Products,,32.2,28.6,28.1,30.0,30.6,29.7,29.8,31.7,34.0,35.2,33.3,33.1,35.3,35.5,35.3,36.3,35.2,37.4,38.9,40.0,39.3,42.1,47.2,44.0,48.7,48.1,48.8,48.1,45.3,44.5,43.2,41.8,40.4,40.2,39.3
38,Natural Gas,,10.8,10.7,10.1,9.4,10.3,9.4,9.2,9.5,10.1,10.4,10.2,10.4,10.7,11.3,11.7,13.0,13.2,12.7,11.3,12.0,12.4,11.5,12.5,12.3,12.4,12.8,11.5,12.5,12.4,11.4,12.7,12.2,12.3,12.5,13.9
39,Total,,103.1,101.6,97.0,99.2,103.8,106.4,109.4,111.3,121.3,117.7,119.1,119.1,122.5,133.6,131.5,137.0,138.2,142.4,140.7,145.1,145.8,149.2,149.4,145.3,151.8,153.9,157.0,156.9,154.4,144.4,151.2,149.3,138.6,139.1,139.4
