,New York Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,17.3,16.1,14.8,13.8,16.8,16.8,17.8,19.8,20.3,18.5,15.0,14.3,15.5,14.6,14.2,13.7,14.5,14.2,13.1,14.0,17.3,17.5,15.9,16.7,16.7,16.9,13.1,14.4,13.6,10.6,10.2,9.3,10.5,9.1,10.0
6,,Natural Gas,18.0,18.1,18.5,17.5,18.3,17.4,18.3,18.3,19.5,19.9,18.4,18.5,20.7,20.9,21.0,20.5,22.0,20.5,18.5,20.2,21.9,20.6,20.1,22.3,21.4,22.1,19.3,21.7,21.4,21.9,21.2,21.5,19.6,22.9,25.1
7,,Total,35.5,34.4,33.6,31.4,35.4,34.4,36.4,38.3,39.9,38.5,33.6,32.9,36.2,35.7,35.3,34.2,36.6,34.7,31.6,34.3,39.2,38.2,36.0,39.1,38.1,39.1,32.5,36.2,34.9,32.5,31.4,30.8,30.1,31.9,35.1
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.6,0.9,1.2,0.8,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.5,0.3,0.4,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0
11,,Petroleum Products,19.4,12.8,15.7,12.3,15.6,15.2,18.7,17.5,16.9,16.1,16.0,15.4,15.4,16.0,15.4,14.1,13.6,11.8,9.2,10.3,12.0,11.5,11.6,14.5,15.0,13.3,11.1,11.0,10.0,9.9,8.7,8.4,6.2,5.9,4.5
12,,Natural Gas,8.7,9.0,8.9,8.8,9.2,9.0,9.1,9.1,10.3,10.7,10.6,10.9,11.8,12.0,12.2,12.6,13.8,17.5,18.3,19.6,20.0,19.0,19.7,18.5,19.6,15.0,14.1,15.5,15.7,15.2,15.6,15.9,14.8,16.5,17.5
13,,Total,28.7,22.7,25.8,21.9,25.7,24.9,28.6,27.3,27.7,27.4,27.2,26.8,27.8,28.5,28.0,27.1,28.0,29.8,27.8,30.3,32.2,30.7,31.3,33.2,34.9,28.7,25.5,26.8,25.9,25.2,24.3,24.3,21.0,22.4,22.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,13.5,12.8,10.0,8.4,9.6,8.8,7.6,7.9,8.5,8.8,7.8,7.8,6.7,7.1,7.0,6.8,6.8,6.8,7.0,6.7,6.9,5.9,4.2,3.9,3.6,3.8,3.5,3.3,3.0,2.2,2.4,2.4,2.3,2.0,1.8
17,,Petroleum Products,14.9,10.6,10.1,6.4,7.7,7.7,6.8,7.4,7.4,7.3,6.7,5.0,5.7,5.8,5.1,4.3,5.0,4.5,5.3,5.5,5.3,5.7,5.4,5.6,5.8,6.4,6.3,5.9,5.5,4.4,3.4,3.7,3.7,3.3,3.0
18,,Natural Gas,6.1,6.5,6.0,5.3,5.9,5.5,4.8,5.3,5.0,5.3,5.6,6.5,8.1,7.8,8.8,11.7,11.7,11.2,9.4,5.6,5.3,4.7,5.1,4.6,4.3,4.4,4.3,4.2,4.4,4.0,4.1,4.1,4.1,4.4,4.6
19,,Total,34.5,29.9,26.1,20.1,23.1,22.0,19.2,20.6,20.9,21.4,20.1,19.3,20.5,20.7,20.9,22.8,23.5,22.5,21.7,17.8,17.5,16.2,14.6,14.0,13.7,14.6,14.0,13.4,12.8,10.6,9.9,10.2,10.1,9.7,9.4
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,71.6,67.0,59.9,54.0,49.0,57.8,59.0,62.2,59.5,59.7,63.6,62.0,60.5,61.5,60.4,62.1,65.3,65.2,65.7,66.1,66.6,66.5,68.0,72.8,74.4,72.6,73.5,72.8,72.4,70.3,69.9,64.5,67.0,67.5,71.1
24,,Natural Gas,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.3,0.5,0.5,0.5,0.7,0.8,0.8,0.9,0.8,1.0,1.2,1.2,1.1,1.6
25,,Total,71.7,67.2,60.1,54.2,49.3,58.0,59.2,62.5,59.7,59.9,63.8,62.3,60.8,61.8,60.8,62.5,65.7,65.6,66.1,66.6,67.0,66.8,68.5,73.2,74.9,73.3,74.3,73.7,73.2,71.1,70.9,65.8,68.1,68.6,72.7
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,14.9,14.9,15.5,15.7,17.3,18.5,15.1,18.8,22.0,24.6,24.5,24.8,26.2,23.0,22.4,21.5,21.9,23.3,24.4,22.8,24.1,22.8,22.1,22.9,22.1,20.1,20.4,20.8,18.5,12.5,13.4,9.4,4.6,4.5,4.3
29,,Petroleum Products,32.0,31.2,27.8,28.7,24.3,21.8,26.4,25.9,32.1,33.6,27.1,22.4,14.5,12.0,9.8,6.8,8.0,7.0,12.2,11.3,12.5,13.8,9.6,15.8,17.3,19.4,5.6,6.7,3.0,2.1,1.7,0.9,0.4,0.6,1.5
30,,Natural Gas,6.8,7.1,8.3,7.4,9.3,9.5,7.3,9.5,8.1,10.0,12.6,12.5,13.9,13.1,15.7,23.3,17.3,22.4,20.5,23.5,20.2,19.3,19.8,14.2,14.0,16.5,21.0,22.1,21.6,19.9,23.0,23.5,27.3,24.9,24.7
31,,Total,53.7,53.2,51.6,51.8,50.9,49.7,48.8,54.2,62.2,68.2,64.2,59.7,54.5,48.1,47.9,51.6,47.2,52.7,57.1,57.6,56.7,55.8,51.5,52.9,53.3,56.0,47.0,49.6,43.1,34.5,38.1,33.8,32.2,30.0,30.5
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,224.2,207.3,197.2,179.4,184.4,189.0,192.2,202.9,210.5,215.4,208.9,201.0,199.9,194.8,192.8,198.3,201.0,205.3,204.3,206.6,212.6,207.8,201.9,212.3,215.0,211.6,193.2,199.6,190.0,173.9,174.5,164.9,161.5,162.7,169.7
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,29.2,28.7,27.0,25.1,28.0,28.2,23.7,27.6,31.2,34.1,32.9,33.2,33.5,30.7,29.8,28.8,29.4,30.6,31.8,30.0,31.2,28.9,26.4,27.0,26.1,24.2,24.2,24.4,21.6,14.7,15.8,11.8,6.9,6.5,6.1
37,Petroleum Products,,155.1,137.7,128.3,115.2,113.4,119.2,128.7,132.8,136.2,135.1,128.5,119.2,111.6,109.9,105.0,100.9,106.4,102.7,105.3,107.2,113.6,115.0,110.4,125.3,129.1,128.6,109.6,110.8,104.4,97.3,93.8,86.9,87.8,86.5,90.1
38,Natural Gas,,39.9,40.9,42.0,39.2,42.9,41.5,39.8,42.5,43.1,46.1,47.5,48.6,54.8,54.2,58.0,68.6,65.2,72.0,67.2,69.4,67.8,63.9,65.1,60.0,59.8,58.7,59.4,64.4,63.9,61.9,65.0,66.2,66.9,69.8,73.6
39,Total,,224.2,207.3,197.2,179.4,184.4,189.0,192.2,202.9,210.5,215.4,208.9,201.0,199.9,194.8,192.8,198.3,201.0,205.3,204.3,206.6,212.6,207.8,201.9,212.3,215.0,211.6,193.2,199.6,190.0,173.9,174.5,164.9,161.5,162.7,169.7
