,Oklahoma Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,0.4,0.5,0.5,0.7,0.4,0.5,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.5,0.4
6,,Natural Gas,4.1,3.8,4.3,4.4,4.4,4.1,3.6,3.5,4.0,3.9,3.6,3.7,3.6,4.2,3.8,3.7,4.2,3.8,3.6,3.3,3.6,3.5,3.7,3.6,3.3,3.2,2.9,3.3,3.6,3.4,3.6,3.4,2.7,3.6,3.8
7,,Total,4.5,4.3,4.8,5.0,4.8,4.6,4.0,3.8,4.3,4.3,3.9,4.0,3.8,4.6,4.1,4.0,4.6,4.3,3.9,3.9,4.2,4.1,4.4,4.1,3.7,3.7,3.4,3.9,4.1,3.9,4.1,3.8,3.0,4.1,4.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,Petroleum Products,0.3,0.4,0.4,0.5,0.6,0.5,0.3,0.4,0.5,0.6,0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.2,0.4,0.3,0.2,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
12,,Natural Gas,2.5,2.2,2.4,2.4,2.4,2.2,2.0,1.8,2.6,2.1,2.0,2.1,1.9,2.2,2.0,2.1,2.5,2.4,2.3,2.1,2.3,2.2,2.2,2.0,2.0,2.2,1.9,2.2,2.2,2.3,2.3,2.2,2.0,2.4,2.6
13,,Total,2.9,2.7,2.9,3.0,3.0,2.7,2.3,2.2,3.1,2.6,2.5,2.5,2.2,2.4,2.2,2.3,2.8,3.2,2.7,2.4,2.6,2.6,2.5,2.3,2.3,2.4,2.2,2.6,2.6,2.7,2.7,2.6,2.4,2.8,3.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,0.5,1.3,1.3,1.2,1.4,1.7,1.5,1.2,1.1,1.3,1.2,1.5,1.6,2.5,1.5,3.1,1.5,1.5,1.5,1.6,1.3,1.4,1.4,1.3,1.4,1.5,1.4,1.5,1.4,1.1,1.2,1.1,1.1,1.1,1.3
17,,Petroleum Products,7.2,5.8,5.4,6.2,7.1,6.9,5.2,5.2,5.7,5.8,5.6,5.3,6.3,6.1,6.0,5.3,5.9,6.1,5.5,6.2,5.5,6.6,6.7,7.0,7.5,8.3,9.5,6.8,6.4,5.4,5.9,6.0,6.9,6.8,6.9
18,,Natural Gas,13.1,13.8,14.8,13.4,14.8,13.2,12.6,15.7,14.5,15.0,16.6,14.5,14.5,15.1,15.6,14.8,14.9,15.4,13.9,12.8,12.4,10.2,9.9,11.4,11.5,11.5,12.4,13.2,14.8,13.2,13.6,14.1,14.0,14.2,14.9
19,,Total,20.8,20.9,21.6,20.8,23.3,21.9,19.4,22.2,21.4,22.1,23.4,21.3,22.4,23.8,23.1,23.2,22.3,23.0,20.9,20.6,19.2,18.2,18.1,19.7,20.5,21.2,23.3,21.5,22.6,19.8,20.7,21.3,22.0,22.2,23.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,20.3,21.8,22.7,22.6,22.5,22.3,21.5,21.8,21.9,22.7,22.3,23.0,24.8,24.0,24.8,23.4,24.7,24.8,25.5,26.7,28.8,31.5,29.4,29.5,27.1,28.7,29.6,30.4,30.1,28.8,29.7,29.5,28.8,28.4,30.2
24,,Natural Gas,1.2,1.2,1.5,1.4,1.5,1.4,1.1,1.3,1.5,2.0,1.4,1.3,1.4,1.4,1.4,1.7,1.8,1.4,1.3,1.3,1.2,1.3,1.3,1.7,1.7,1.7,1.7,1.6,1.5,1.6,1.7,1.7,1.8,2.3,2.5
25,,Total,21.5,23.0,24.2,24.0,24.0,23.7,22.6,23.1,23.4,24.6,23.7,24.3,26.2,25.4,26.3,25.0,26.5,26.2,26.8,28.0,30.0,32.8,30.7,31.2,28.8,30.4,31.3,31.9,31.7,30.3,31.4,31.2,30.6,30.7,32.7
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,9.4,13.4,17.8,19.4,20.3,20.6,18.9,21.4,24.2,24.1,25.1,27.9,29.4,31.0,29.9,31.8,33.7,35.1,33.4,32.5,34.6,34.2,35.6,35.8,33.7,36.1,34.9,33.8,35.6,34.1,31.5,34.6,29.8,30.6,30.5
29,,Petroleum Products,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,,Natural Gas,18.3,15.9,13.7,13.2,12.4,11.1,10.9,10.4,9.8,10.0,9.7,9.6,8.6,8.8,8.8,8.8,7.8,7.4,9.9,9.7,9.6,9.5,10.6,10.7,10.9,13.2,15.2,15.6,15.5,15.6,15.8,14.5,17.3,13.6,11.5
31,,Total,27.8,29.3,31.5,32.7,32.7,31.7,29.9,31.9,34.0,34.1,34.8,37.6,38.0,39.8,38.7,40.7,41.6,42.6,43.3,42.1,44.3,43.8,46.2,46.7,44.7,49.3,50.1,49.6,51.1,49.7,47.4,49.1,47.1,44.2,42.0
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,77.4,80.2,84.9,85.4,87.9,84.7,78.2,83.1,86.2,87.8,88.4,89.7,92.7,96.0,94.3,95.2,97.7,99.1,97.6,97.1,100.2,101.5,101.8,104.0,100.0,107.1,110.3,109.5,112.2,106.5,106.3,108.0,105.2,104.0,105.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,10.0,14.8,19.1,20.6,21.7,22.3,20.5,22.6,25.4,25.4,26.3,29.5,30.9,33.5,31.4,34.9,35.2,37.1,35.0,34.1,36.0,35.5,37.0,37.2,35.1,37.5,36.3,35.2,37.0,35.2,32.7,35.7,30.9,31.7,31.7
37,Petroleum Products,,28.2,28.6,29.0,30.0,30.7,30.4,27.5,27.7,28.4,29.4,28.8,29.0,31.8,30.6,31.3,29.2,31.3,31.7,31.7,33.8,35.2,39.2,37.1,37.3,35.4,37.7,39.8,38.3,37.4,35.1,36.6,36.3,36.5,36.1,37.9
38,Natural Gas,,39.2,36.8,36.7,34.8,35.5,32.0,30.3,32.8,32.4,32.9,33.3,31.3,30.0,31.8,31.6,31.1,31.2,30.4,31.0,29.2,29.0,26.8,27.7,29.5,29.5,31.8,34.2,35.9,37.7,36.1,37.0,35.9,37.8,36.2,35.3
39,Total,,77.4,80.2,84.9,85.4,87.9,84.7,78.2,83.1,86.2,87.8,88.4,89.7,92.7,96.0,94.3,95.2,97.7,99.1,97.6,97.1,100.2,101.5,101.8,104.0,100.0,107.1,110.3,109.5,112.2,106.5,106.3,108.0,105.2,104.0,105.0
