,Wisconsin Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,4.3,3.9,4.0,3.0,3.5,3.7,3.7,3.6,3.8,3.8,3.4,3.5,3.3,3.6,3.2,3.0,3.5,3.0,2.7,3.2,3.0,3.0,3.1,3.0,2.9,2.8,2.4,2.4,2.6,2.1,2.0,1.9,1.5,2.0,2.0
6,,Natural Gas,6.6,6.0,6.3,6.0,6.0,6.2,5.9,5.5,6.5,6.8,6.1,6.6,6.6,7.0,6.9,7.3,7.9,7.3,6.2,6.8,7.2,6.7,7.3,7.6,7.2,7.1,6.5,7.1,7.6,7.2,6.6,7.0,6.1,7.8,8.2
7,,Total,10.9,9.9,10.3,9.0,9.6,9.9,9.6,9.2,10.3,10.6,9.4,10.1,9.9,10.6,10.1,10.3,11.5,10.4,8.9,10.1,10.2,9.8,10.5,10.6,10.2,9.9,8.9,9.4,10.1,9.3,8.6,8.8,7.6,9.8,10.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.7,0.1,0.1,0.5,0.3,0.3,0.3,0.1,0.1,0.1
11,,Petroleum Products,0.9,0.6,0.7,1.8,2.2,1.7,1.1,1.1,1.1,1.4,1.3,1.2,1.0,1.0,0.8,0.7,0.7,0.8,0.9,0.9,0.9,0.9,1.0,1.1,1.0,0.9,0.6,0.6,0.8,0.6,0.5,0.6,0.5,0.5,0.5
12,,Natural Gas,4.1,3.6,3.7,3.6,3.8,3.9,3.0,3.1,3.6,3.7,3.5,3.8,3.8,4.1,4.2,4.6,5.0,4.8,4.4,4.4,4.3,4.1,4.6,4.7,4.4,4.6,4.6,4.8,5.2,4.9,4.4,4.7,4.2,5.4,5.9
13,,Total,5.1,4.3,4.5,5.5,6.2,5.6,4.1,4.4,4.9,5.2,4.8,5.0,4.8,5.2,5.1,5.5,6.0,5.9,5.6,5.7,5.6,5.4,5.8,6.1,5.7,6.2,5.3,5.5,6.5,5.8,5.2,5.5,4.7,6.0,6.5
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,5.1,4.9,4.9,4.8,4.3,4.7,4.7,4.3,4.3,4.3,4.5,4.3,4.2,4.1,4.5,4.5,3.8,4.0,3.9,3.8,3.8,3.7,3.8,3.7,3.8,3.7,3.8,3.8,3.6,3.2,3.3,3.2,2.9,3.0,3.0
17,,Petroleum Products,4.0,3.3,3.9,3.1,3.4,2.8,3.2,3.3,3.4,3.4,3.6,3.7,3.6,4.3,4.3,3.9,4.6,4.5,4.2,5.8,6.3,6.6,6.5,4.6,5.2,5.4,5.2,5.1,4.2,3.2,3.1,3.2,3.2,3.6,3.6
18,,Natural Gas,6.9,6.9,6.2,6.0,6.3,6.2,5.7,6.0,6.5,6.8,6.5,6.9,7.0,7.2,7.3,7.8,8.0,8.3,7.6,7.8,8.1,7.1,7.4,7.4,7.5,7.0,6.4,6.5,6.9,6.4,6.5,6.8,6.7,7.4,7.8
19,,Total,16.0,15.2,15.0,14.0,13.9,13.7,13.7,13.7,14.2,14.5,14.6,14.9,14.8,15.6,16.1,16.2,16.4,16.8,15.7,17.4,18.3,17.4,17.7,15.7,16.6,16.1,15.3,15.4,14.7,12.9,12.9,13.2,12.9,14.0,14.4
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,22.8,22.2,21.3,21.5,21.4,21.9,22.3,22.4,24.0,24.1,23.9,23.7,24.3,25.1,26.3,27.1,27.5,27.6,29.2,29.9,29.4,29.3,29.4,29.0,30.3,29.8,30.3,30.4,29.4,28.7,29.1,28.2,28.2,27.9,30.1
24,,Natural Gas,0.4,0.4,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2
25,,Total,23.3,22.7,21.5,21.7,21.6,22.1,22.5,22.6,24.2,24.4,24.1,24.0,24.5,25.3,26.8,27.3,27.7,27.9,29.5,30.2,29.6,29.5,29.6,29.2,30.5,30.0,30.5,30.6,29.5,28.8,29.3,28.3,28.3,28.1,30.3
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,25.5,25.7,25.4,28.2,29.6,29.2,30.1,31.8,32.6,32.3,32.7,33.9,33.0,33.8,35.4,36.9,38.9,41.6,40.4,41.2,42.9,42.5,42.4,42.0,42.9,44.9,39.9,40.0,41.3,36.7,39.7,38.8,32.2,39.9,36.3
29,,Petroleum Products,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.6,0.6,0.8,0.9,0.8,0.6,0.6,0.5,0.1,0.1,0.2
30,,Natural Gas,0.7,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.5,0.4,0.9,1.3,1.1,1.1,1.2,1.1,1.3,1.1,3.1,2.4,2.9,2.2,2.2,2.3,2.6,4.7,3.3,3.3
31,,Total,26.4,26.2,25.8,28.5,29.8,29.4,30.4,32.0,32.8,32.5,32.9,34.1,33.2,34.1,35.9,37.6,39.4,42.6,41.9,42.6,44.3,44.0,43.6,43.5,44.7,48.7,43.1,43.8,44.4,39.5,42.6,41.8,37.0,43.3,39.7
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,81.7,78.3,77.2,78.7,81.0,80.6,80.2,81.8,86.4,87.1,85.9,88.2,87.3,90.8,94.0,96.9,101.1,103.6,101.6,105.9,108.0,106.0,107.2,105.2,107.6,110.9,103.1,104.8,105.2,96.3,98.6,97.7,90.6,101.1,101.1
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,30.7,30.7,30.4,33.1,34.1,33.9,34.9,36.3,37.1,36.7,37.2,38.2,37.2,38.0,40.1,41.7,42.9,46.0,44.6,45.4,47.1,46.6,46.4,46.1,47.1,49.3,43.7,43.9,45.4,40.2,43.3,42.2,35.2,42.9,39.4
37,Petroleum Products,,32.2,30.2,30.0,29.5,30.6,30.2,30.4,30.6,32.4,32.8,32.2,32.2,32.3,34.1,34.8,34.8,36.5,36.2,37.3,40.1,39.8,40.1,40.2,38.0,40.0,39.5,39.4,39.4,37.8,35.2,35.3,34.3,33.6,34.2,36.4
38,Natural Gas,,18.8,17.4,16.8,16.0,16.3,16.5,14.9,14.9,17.0,17.7,16.5,17.7,17.8,18.7,19.1,20.4,21.7,21.5,19.7,20.4,21.1,19.3,20.6,21.1,20.5,22.0,20.0,21.4,22.0,20.8,20.0,21.2,21.8,24.1,25.4
39,Total,,81.7,78.3,77.2,78.7,81.0,80.6,80.2,81.8,86.4,87.1,85.9,88.2,87.3,90.8,94.0,96.9,101.1,103.6,101.6,105.9,108.0,106.0,107.2,105.2,107.6,110.9,103.1,104.8,105.2,96.3,98.6,97.7,90.6,101.1,101.1
